employee_id,policy_id,year,balance,used,scheduled
TRT-0001,PTO 5 Plus Years,2026,22.8652,40,0
TRT-0002,PTO 5 Plus Years,2026,62.6152,0,0
TRT-0005,PTO 5 Plus Years,2026,117.1152,0,0
TRT-0009,PTO 5 Plus Years,2026,108.6152,0,0
TRT-0012,PTO 2 to 5 Years,2026,49.9615,40,0
TRT-0014,PTO 2 to 5 Years,2026,84.4615,0,0
TRT-0018,PTO 5 Plus Years,2026,87.8654,0,0
TRT-0021,PTO 2 to 5 Years,2026,76.4615,16,0
TRT-0023,PTO 2 to 5 Years,2026,78.9615,0,0
TRT-0027,PTO 2 to 5 Years,2026,26.7115,16,0
TRT-0029,PTO 2 to 5 Years,2026,67.4615,8,0
TRT-0031,PTO 2 to 5 Years,2026,38.4615,32,0
TRT-0034,PTO 2 to 5 Years,2026,30.9615,0,0
TRT-0037,PTO 2 to 5 Years,2026,48.461600000000004,0,0
TRT-0040,PTO 2 to 5 Years,2026,67.9616,0,0
TRT-0043,PTO Under 2 Years,2026,31.8076,24,0
TRT-0045,PTO 2 to 5 Years,2026,7.961600000000004,40,0
TRT-0047,PTO 2 to 5 Years,2026,5.461600000000004,32,0
TRT-0049,PTO Under 2 Years,2026,34.8076,0,0
TRT-0051,PTO Under 2 Years,2026,0.5576000000000008,24,0
TRT-0052,PTO 2 to 5 Years,2026,4.461600000000001,24,0
TRT-0055,PTO 2 to 5 Years,2026,15.9616,16,0
TRT-0058,PTO Under 2 Years,2026,34.8076,0,0
TRT-0062,PTO 2 to 5 Years,2026,21.2116,8,0
TRT-0064,PTO 2 to 5 Years,2026,70.4616,0,0
TRT-0066,PTO 2 to 5 Years,2026,27.9616,0,0
TRT-0069,PTO 2 to 5 Years,2026,46.211600000000004,0,0
TRT-0071,PTO Under 2 Years,2026,39.5576,0,0
TRT-0074,PTO 2 to 5 Years,2026,44.211600000000004,0,0
TRT-0076,PTO 2 to 5 Years,2026,35.211600000000004,8,0
TRT-0079,PTO Under 2 Years,2026,18.8076,0,0
TRT-0083,PTO Under 2 Years,2026,12.5576,32,0
TRT-0086,PTO 2 to 5 Years,2026,51.961600000000004,0,0
TRT-0088,PTO 2 to 5 Years,2026,13.211600000000004,40,0
TRT-0091,PTO 2 to 5 Years,2026,25.7116,0,0
TRT-0093,PTO 2 to 5 Years,2026,20.211600000000004,32,0
TRT-0096,PTO Under 2 Years,2026,20.5576,16,0
TRT-0099,PTO Under 2 Years,2026,37.0577,0,0
TRT-0102,PTO Under 2 Years,2026,24.3076,0,0
TRT-0105,PTO Under 2 Years,2026,15.807699999999997,24,0
TRT-0108,PTO Under 2 Years,2026,41.3077,8,0
TRT-0110,PTO Under 2 Years,2026,23.8076,0,0
TRT-0113,PTO Under 2 Years,2026,26.5577,0,0
TRT-0117,PTO 2 to 5 Years,2026,8.461500000000001,32,0
TRT-0119,PTO Under 2 Years,2026,22.0576,8,0
TRT-0122,PTO Under 2 Years,2026,31.3076,0,0
TRT-0128,PTO Under 2 Years,2026,20.0576,0,0
TRT-0131,PTO Under 2 Years,2026,4.307600000000001,40,0
TRT-0135,PTO Under 2 Years,2026,49.3076,0,0
TRT-0141,PTO Under 2 Years,2026,33.0576,0,0
TRT-0150,PTO Under 2 Years,2026,12.3076,0,0
CTR-2001,PTO Under 2 Years,2026,12.3076,0,0
CTR-2002,PTO Under 2 Years,2026,12.3076,0,0
CTR-2003,PTO Under 2 Years,2026,12.3076,0,0
CTR-2004,PTO Under 2 Years,2026,12.3076,0,0
TRT-0154,PTO Under 2 Years,2026,3.0769,0,0
TRT-0156,PTO Under 2 Years,2026,0,0,0
