id,job_id,user_id,role,responsible
1,1,3,hiring_manager,true
2,1,5,recruiter,true
3,2,3,hiring_manager,true
4,2,5,recruiter,true
5,3,1,hiring_manager,true
6,3,5,recruiter,true
7,4,4,hiring_manager,true
8,4,5,recruiter,true
9,5,2,hiring_manager,true
10,5,5,recruiter,true
11,6,4,hiring_manager,true
12,6,5,recruiter,true
13,7,1,hiring_manager,true
14,7,5,recruiter,true
15,8,2,hiring_manager,true
16,8,5,recruiter,true
17,9,4,hiring_manager,true
18,9,5,recruiter,true
19,10,1,hiring_manager,true
20,10,5,recruiter,true
