employee_id,policy_id,effective_date,end_date
TRT-0001,PTO 5 Plus Years,2019-03-04,
TRT-0002,PTO 5 Plus Years,2019-03-04,
TRT-0005,PTO 5 Plus Years,2019-05-20,
TRT-0009,PTO 5 Plus Years,2021-06-14,
TRT-0012,PTO 2 to 5 Years,2021-09-13,
TRT-0014,PTO 2 to 5 Years,2021-10-04,
TRT-0018,PTO 5 Plus Years,2021-08-09,
TRT-0021,PTO 2 to 5 Years,2022-01-10,
TRT-0023,PTO 2 to 5 Years,2022-02-14,
TRT-0027,PTO 2 to 5 Years,2022-01-24,
TRT-0029,PTO 2 to 5 Years,2022-02-21,
TRT-0031,PTO 2 to 5 Years,2022-03-07,
TRT-0034,PTO 2 to 5 Years,2022-03-28,
TRT-0037,PTO 2 to 5 Years,2022-04-18,
TRT-0040,PTO 2 to 5 Years,2022-07-11,
TRT-0043,PTO Under 2 Years,2026-07-01,
TRT-0045,PTO 2 to 5 Years,2022-07-25,
TRT-0047,PTO 2 to 5 Years,2022-12-05,
TRT-0049,PTO Under 2 Years,2024-11-14,
TRT-0051,PTO Under 2 Years,2026-07-01,
TRT-0052,PTO 2 to 5 Years,2022-06-06,
TRT-0055,PTO 2 to 5 Years,2022-08-01,
TRT-0058,PTO Under 2 Years,2026-07-01,
TRT-0062,PTO 2 to 5 Years,2022-11-14,
TRT-0064,PTO 2 to 5 Years,2022-11-07,
TRT-0066,PTO 2 to 5 Years,2023-01-09,
TRT-0069,PTO 2 to 5 Years,2023-05-15,
TRT-0071,PTO Under 2 Years,2026-07-01,
TRT-0074,PTO 2 to 5 Years,2023-09-18,
TRT-0076,PTO 2 to 5 Years,2023-10-02,
TRT-0079,PTO Under 2 Years,2026-07-01,
TRT-0083,PTO Under 2 Years,2026-07-01,
TRT-0086,PTO 2 to 5 Years,2023-08-28,
TRT-0088,PTO 2 to 5 Years,2023-07-17,
TRT-0091,PTO 2 to 5 Years,2023-11-06,
TRT-0093,PTO 2 to 5 Years,2023-12-11,
TRT-0096,PTO Under 2 Years,2026-07-01,
TRT-0099,PTO Under 2 Years,2024-12-09,
TRT-0102,PTO Under 2 Years,2026-07-01,
TRT-0105,PTO Under 2 Years,2025-02-24,
TRT-0108,PTO Under 2 Years,2025-03-03,
TRT-0110,PTO Under 2 Years,2026-07-01,
TRT-0113,PTO Under 2 Years,2025-04-07,
TRT-0117,PTO 2 to 5 Years,2024-03-11,
TRT-0119,PTO Under 2 Years,2025-02-03,
TRT-0122,PTO Under 2 Years,2025-09-29,
TRT-0128,PTO Under 2 Years,2025-10-20,
TRT-0131,PTO Under 2 Years,2025-11-10,
TRT-0135,PTO Under 2 Years,2025-12-01,
TRT-0141,PTO Under 2 Years,2025-11-03,
TRT-0150,PTO Under 2 Years,2026-07-01,
CTR-2001,PTO Under 2 Years,2025-11-03,
CTR-2002,PTO Under 2 Years,2025-12-01,
CTR-2003,PTO Under 2 Years,2026-01-05,
CTR-2004,PTO Under 2 Years,2026-06-08,
TRT-0154,PTO Under 2 Years,2026-08-03,
TRT-0156,PTO Under 2 Years,2026-08-17,
