Index,Verifier Type,Criteria,Criterion Type,Numerical Weight,Gate Kind,Is Primary Objective,Check Kind,Criteria Explanation,Reference Artifacts
1,App DB Programatic,States that a Wiki.js page titled Approved Hiring View - August 2026 is published.,Objective Compliance,1,-,No,exists,"The request names the page and asks for it published in Wiki.js, so the page exists under that title with its published flag set.",operating_review_request.pdf; wiki_js/Page.csv
2,App DB Programatic,"States, on the approved hiring page, that REQ-2026-031, REQ-2026-032, REQ-2026-033, REQ-2026-034 and REQ-2026-035 each carry a Board approval of Approved.",Objective Compliance,1,-,No,cells,"The Board plan's page 2 table authorises these five roles by title, level and department, and each requisition traces to its line on the ATS export.",/Recruiting/2026-06-20_Hiring_Plan_Board_Approved.pdf; /Recruiting/ATS_Requisition_Export_2026-08-31.xlsx; greenhouse/jobs.csv
3,App DB Programatic,"States, on the approved hiring page, that REQ-2026-036 carries a Board approval of Not approved.",Expert Assessment,7,-,Yes,cell,"The Board's backfill line is CSM I and the requisition was opened as Customer Success Manager II at CSM II, so it does not trace line-for-line to a Board authorization and the plan holds it pending Board action.",/Recruiting/2026-06-20_Hiring_Plan_Board_Approved.pdf; /Executive/Board/2026-06-20_Board_Minutes.pdf; /Recruiting/ATS_Requisition_Export_2026-08-31.xlsx; greenhouse/jobs.csv
4,App DB Programatic,"States, on the approved hiring page, that REQ-2026-037 carries a Board approval of Not approved.",Expert Assessment,5,-,Yes,cell,"No Marketing Manager is on the Board plan, the ATS export sources the requisition to Hiring_Plan_2026_FINAL, and the plan treats a requisition opened from a working spreadsheet as unauthorized.",/Recruiting/2026-06-20_Hiring_Plan_Board_Approved.pdf; /Recruiting/ATS_Requisition_Export_2026-08-31.xlsx; /Recruiting/Hiring_Plan_2026_FINAL.xlsx; greenhouse/jobs.csv
5,App DB Programatic,"States, on the approved hiring page, that REQ-2026-038 carries a Board approval of Not approved.",Expert Assessment,5,-,Yes,cell,No Data Analyst II is on the Board plan and the ATS export sources the requisition to Hiring_Plan_2026_FINAL. An accepted offer on it does not change what the Board authorized.,/Recruiting/2026-06-20_Hiring_Plan_Board_Approved.pdf; /Recruiting/ATS_Requisition_Export_2026-08-31.xlsx; /Recruiting/Hiring_Plan_2026_FINAL.xlsx; /Recruiting/Offers/2026-08-20_Offer_Acceptance_ATS-4471.pdf
6,App DB Programatic,"States, on the approved hiring page, a hiring status of Open on each of REQ-2026-031, REQ-2026-032, REQ-2026-033, REQ-2026-034, REQ-2026-035, REQ-2026-036 and REQ-2026-037.",Objective Compliance,1,-,No,cells,"The ATS export of 08/31/2026 carries no offer on seven of the eight open requisitions and Greenhouse holds no application on them, so each is open and unfilled.",/Recruiting/ATS_Requisition_Export_2026-08-31.xlsx; greenhouse/jobs.csv; greenhouse/applications.csv
7,App DB Programatic,"States, on the approved hiring page, that REQ-2026-038 carries a hiring status of Offer accepted.",Objective Compliance,1,-,No,cell,"Kwame Adjei signed the offer on REQ-2026-038 on 08/20/2026 with a start date of 09/08/2026, so at 08/31/2026 the requisition holds an accepted offer and no hire.",/Recruiting/Offers/2026-08-20_Offer_Acceptance_ATS-4471.pdf; /Recruiting/ATS_Requisition_Export_2026-08-31.xlsx; greenhouse/applications.csv
8,App DB Programatic,"States, on the approved hiring page, that the Board-authorized annualized budget is $612,000.00.",Objective Compliance,2,-,No,summary,"Both the Board plan and the minutes resolve the second-half plan at $612,000.00, and the $868,000.00 on the plan workbook is a superseded working figure.",/Recruiting/2026-06-20_Hiring_Plan_Board_Approved.pdf; /Executive/Board/2026-06-20_Board_Minutes.pdf; /Recruiting/Hiring_Plan_2026_FINAL.xlsx
9,App DB Programatic,"States, on the approved hiring page, that none of the five Board-approved roles is filled at 08/31/2026.",Objective Compliance,1,-,No,summary,"The request asks the summary to say how many approved roles are filled, and the ATS export shows all five still open with no offer.",/Recruiting/ATS_Requisition_Export_2026-08-31.xlsx; /Recruiting/2026-06-20_Hiring_Plan_Board_Approved.pdf
10,App DB Programatic,States that a Wiki.js page titled Staffed Role View - August 2026 is published.,Objective Compliance,1,-,No,exists,"A second page is named by the request and asked for in Wiki.js, so it exists under that title with its published flag set.",operating_review_request.pdf; wiki_js/Page.csv
